Muhammad Mokaev                     wiki: Muhammad Mokaev | fights: 18
David Dvorak                        wiki: David Dvořák | fights: 28
Francisco Figueiredo                wiki: Francisco Figueiredo | fights: 20
Tyson Nam                           wiki: Tyson Nam | fights: 39
Kleydson Rodrigues                  wiki: NOT FOUND | fights: 0
Ethyn Ewing                         wiki: NOT FOUND | fights: 0
Laureano Staropoli                  wiki: Laureano Staropoli | fights: 21
Dusko Todorovic                     wiki: Duško Todorović | fights: 18
Krzysztof Jotko                     wiki: Krzysztof Jotko | fights: 36
Marc-André Barriault                wiki: Marc-André Barriault | fights: 29
Kelvin Gastelum                     wiki: Kelvin Gastelum | fights: 32
Abus Magomedov                      wiki: Abusupiyan Magomedov | fights: 35
Robert Valentin                     wiki: NOT FOUND | fights: 0
Punahele Soriano                    wiki: Punahele Soriano | fights: 16
Chris Curtis                        wiki: Chris Curtis (fighter) | fights: 46
Josh Fremd                          wiki: NOT FOUND | fights: 0
Deron Winn                          wiki: Deron Winn | fights: 10
Zachary Reese                       wiki: Zachary Reese | fights: 13
Eric McConico                       wiki: NOT FOUND | fights: 0
Mantas Kondratavicus                wiki: NOT FOUND | fights: 0
Antonio Trocoli                     wiki: NOT FOUND | fights: 0
Alex Morono                         wiki: Alex Morono | fights: 37
Rinat Fakhretdinov                  wiki: Rinat Fakhretdinov | fights: 26
Themba Gorimbo                      wiki: Themba Gorimbo | fights: 21
Ramiz Brahimaj                      wiki: Ramiz Brahimaj | fights: 18
Francisco Prado                     wiki: NOT FOUND | fights: 0
Chidi Njokuani                      wiki: Chidi Njokuani | fights: 37
Yadier del Valle                    wiki: NOT FOUND | fights: 0
Kevin Jousset                       wiki: Kevin Jousset | fights: 14
Elizeu Zaleski dos Santos           wiki: Elizeu Zaleski dos Santos | fights: 37
Niko Price                          wiki: Niko Price | fights: 28
Gauge Young                         wiki: NOT FOUND | fights: 0
Paul Craig                          wiki: Paul Craig | fights: 32
Modestas Bukauskas                  wiki: Modestas Bukauskas | fights: 26
Da'Mon Blackshear                   wiki: NOT FOUND | fights: 0
Ihor Potieria                       wiki: NOT FOUND | fights: 0
Ocie Ike                            wiki: NOT FOUND | fights: 0
Eduard Folayang                     wiki: Eduard Folayang | fights: 36
Azamat Murzakanov                   wiki: Azamat Murzakanov | fights: 16
Manel Kape                          wiki: Manel Kape | fights: 29
Austin Lund                         wiki: NOT FOUND | fights: 0
Nate Landwehr                       wiki: Nate Landwehr | fights: 25
Eric Shelton                        wiki: Eric Shelton (fighter) | fights: 30
Joanderson Brito                    wiki: NOT FOUND | fights: 0
TJ Brown                            wiki: T.J. Brown | fights: 32
Damon Jackson                       wiki: Damon Jackson | fights: 33
Lucas Alexander                     wiki: NOT FOUND | fights: 0
Rinya Nakamura                      wiki: Rinya Nakamura | fights: 11
Colby Covington                     wiki: Colby Covington | fights: 22
Andrei Arlovski                     wiki: Andrei Arlovski | fights: 59
Parker Porter                       wiki: Parker Porter | fights: 22
Alan Baudot                         wiki: Alan Baudot | fights: 12
